-100, 3.72007597602124E-44
-95, 5.5210822770287E-42
-90, 8.194012623991E-40
-85, 1.21609929925296E-37
-80, 1.80485138784543E-35
-75, 2.67863696180813E-33
-70, 3.97544973590884E-31
-65, 5.90009054159697E-29
-60, 8.75651076269682E-27
-55, 1.29958142500749E-24
-50, 1.92874984796402E-22
-45, 2.86251858054948E-20
-40, 4.2483542552916E-18
-35, 6.30511676014714E-16
-30, 9.35762296884034E-14
-25, 1.38879438649644E-11
-20, 2.06115362243856E-09
-15, 3.05902320501828E-07
-10, 4.53999297624849E-05
-5, 0.00673794699908547
0, 1
5, 148.413159102577
10, 22026.4657948067
15, 3269017.37247208
20, 485165195.40979
25, 72004899337.3839
30, 10686474581524.3
35, 1.58601345231339E+15
40, 2.35385266837019E+17
45, 3.49342710574841E+19
50, 5.18470552858679E+21
55, 7.69478526514211E+23
60, 1.14200738981565E+26
65, 1.69488924441036E+28
70, 2.51543867091904E+30
75, 3.73324199679893E+32
80, 5.54062238439348E+34
85, 8.22301271462203E+36
90, 1.22040329431777E+39
95, 1.81123908288897E+41
